Internal_SKU,HEX,Hue_Degrees,Saturation_Value,Brightness_Value,Auto_Depth_Score
LC-GP-0122,#B01018,357.0,90.9,69.0,4
LC-GP-0123,#901820,356.0,83.3,56.5,5
LC-GP-0124,#581828,345.0,72.7,34.5,7
LC-GP-0125,#501820,351.4,70.0,31.4,7
LC-GP-0126,#B01820,356.8,86.4,69.0,4
LC-GP-0127,#C01820,357.1,87.5,75.3,3
LC-GP-0128,#C81820,357.3,88.0,78.4,3
LC-GP-0129,#F02850,348.0,83.3,94.1,2
LC-GP-0130,#F03028,2.4,83.3,94.1,2
LC-GP-0131,#F84050,354.8,74.2,97.3,1
LC-GP-0132,#E82830,357.5,82.8,91.0,2
LC-GP-0133,#E02828,0.0,82.1,87.8,2
LC-GP-0134,#C82838,354.0,80.0,78.4,3
LC-GP-0135,#C82818,5.5,88.0,78.4,3
LC-GP-0136,#E82840,352.5,82.8,91.0,2
LC-GP-0137,#C81818,0.0,88.0,78.4,3
LC-GP-0138,#D82828,0.0,81.5,84.7,2
LC-GP-0139,#D01818,0.0,88.5,81.6,3
LC-GP-0140,#D01010,0.0,92.3,81.6,3
LC-GP-0141,#C81828,354.5,88.0,78.4,3
LC-GP-0142,#C01820,357.1,87.5,75.3,3
LC-GP-0143,#C81828,354.5,88.0,78.4,3
LC-GP-0144,#C01828,354.3,87.5,75.3,3
LC-GP-0145,#C81820,357.3,88.0,78.4,3
LC-GP-0146,#D81810,2.4,92.6,84.7,2
LC-GP-0147,#C82018,2.7,88.0,78.4,3
LC-GP-0148,#C81820,357.3,88.0,78.4,3
LC-GP-0149,#D81008,2.3,96.3,84.7,2
LC-GP-0150,#D01018,357.5,92.3,81.6,3
LC-GP-0151,#D01010,0.0,92.3,81.6,3
LC-GP-0152,#C82038,351.4,84.0,78.4,3
LC-GP-0153,#C01018,357.3,91.7,75.3,3
LC-GP-0154,#C81018,357.4,92.0,78.4,3
LC-GP-0155,#B80810,357.3,95.7,72.2,4
LC-GP-0156,#C81828,354.5,88.0,78.4,3
LC-GP-0157,#C81820,357.3,88.0,78.4,3
LC-GP-0158,#C81818,0.0,88.0,78.4,3
LC-GP-0159,#C01818,0.0,87.5,75.3,3
LC-GP-0160,#D81810,2.4,92.6,84.7,2
LC-GP-0161,#C81820,357.3,88.0,78.4,3
LC-GP-0162,#C81820,357.3,88.0,78.4,3
LC-GP-0163,#B01818,0.0,86.4,69.0,4
LC-GP-0164,#D02030,354.5,84.6,81.6,3
LC-GP-0165,#C81828,354.5,88.0,78.4,3
LC-GP-0166,#A01820,356.5,85.0,62.7,4
LC-GP-0167,#B01820,356.8,86.4,69.0,4
LC-GP-0168,#B01810,3.0,90.9,69.0,4
LC-GP-0169,#882028,355.4,76.5,53.3,5
LC-GP-0170,#A81828,353.3,85.7,65.9,4
LC-GP-0171,#B01828,353.7,86.4,69.0,4
LC-GP-0172,#A81028,350.5,90.5,65.9,4
LC-GP-0173,#982030,352.0,78.9,59.6,5
LC-GP-0174,#901828,352.0,83.3,56.5,5
LC-GP-0175,#701828,349.1,78.6,43.9,6
LC-GP-0176,#901830,348.0,83.3,56.5,5
LC-GP-0177,#701818,0.0,78.6,43.9,6
LC-GP-0178,#781028,346.2,86.7,47.1,6
LC-GP-0179,#401010,0.0,75.0,25.1,8
LC-GP-0180,#802038,345.0,75.0,50.2,5
LC-GP-0181,#782828,0.0,66.7,47.1,6
LC-GP-0182,#601828,346.7,75.0,37.6,7
LC-GP-0183,#681820,354.0,76.9,40.8,6
LC-GP-0184,#601818,0.0,75.0,37.6,7
LC-GP-0185,#582030,342.9,63.6,34.5,7
LC-GP-0186,#602020,0.0,66.7,37.6,7
LC-GP-0187,#681830,342.0,76.9,40.8,6
LC-GP-0188,#602020,0.0,66.7,37.6,7
LC-GP-0189,#601828,346.7,75.0,37.6,7
LC-GP-0190,#702018,5.5,78.6,43.9,6
LC-GP-0191,#800838,336.0,93.8,50.2,5
LC-GP-0192,#582030,342.9,63.6,34.5,7
LC-GP-0193,#782020,0.0,73.3,47.1,6
LC-GP-0194,#902028,355.7,77.8,56.5,5
LC-GP-0195,#A01018,356.7,90.0,62.7,4
LC-GP-0196,#981828,352.5,84.2,59.6,5
LC-GP-0197,#981020,352.9,89.5,59.6,5
LC-GP-0198,#A81020,353.7,90.5,65.9,4
LC-GP-0199,#901020,352.5,88.9,56.5,5
LC-GP-0200,#981838,345.0,84.2,59.6,5
LC-GP-0201,#B01028,351.0,90.9,69.0,4
LC-GP-0202,#A80820,351.0,95.2,65.9,4
LC-GP-0203,#A81020,353.7,90.5,65.9,4
LC-GP-0204,#A01018,356.7,90.0,62.7,4
LC-GP-0205,#C80020,350.4,100.0,78.4,3
LC-GP-0206,#B81028,351.4,91.3,72.2,4
LC-GP-0207,#C81018,357.4,92.0,78.4,3
LC-GP-0208,#D80008,357.8,100.0,84.7,2
LC-GP-0209,#B01028,351.0,90.9,69.0,4
LC-GP-0210,#B81030,348.6,91.3,72.2,4
LC-GP-0211,#C01840,345.7,87.5,75.3,3
LC-GP-0212,#C01828,354.3,87.5,75.3,3
LC-GP-0213,#C81830,351.8,88.0,78.4,3
LC-GP-0214,#B81828,354.0,87.0,72.2,4
LC-GP-0215,#B02828,0.0,77.3,69.0,4
LC-GP-0216,#D83850,351.0,74.1,84.7,2
LC-GP-0217,#F85068,351.4,67.7,97.3,1
LC-GP-0218,#F06860,3.3,60.0,94.1,2
LC-GP-0219,#B05040,8.6,63.6,69.0,4
LC-GP-0220,#A04048,355.0,60.0,62.7,4
LC-GP-0221,#C85050,0.0,60.0,78.4,3
LC-GP-0222,#E05070,346.7,64.3,87.8,2
