SL_Code,Target_HEX,Mixed_HEX,Delta_E,S1,S8,S2,S4,S5,S19,S7,S9,S10,S11,S12,S14,S15
SL0064,#F09090,#D5817F,8.13,10,0,0,0,0,0,0,0,3,0,0,0,7
SL0065,#D88098,#BB7088,8.9,9,0,0,0,0,0,0,0,7,0,0,0,4
SL0066,#C06878,#C36878,1.59,8,0,0,0,0,0,0,0,6,0,0,0,6
SL0067,#C06878,#C36878,1.59,8,0,0,0,0,0,0,0,6,0,0,0,6
SL0068,#C87880,#CA7982,0.79,10,0,0,0,0,0,0,0,5,0,0,0,6
SL0069,#E88898,#C77884,10.41,9,0,0,0,0,0,0,0,5,0,0,0,5
SL0070,#E87880,#CA6A73,9.75,8,0,0,0,0,0,0,0,5,0,0,0,7
SL0071,#F88098,#BF6377,17.69,8,0,0,0,0,0,0,0,7,0,0,0,6
SL0072,#F87890,#BD5D71,18.15,7,0,0,0,0,0,0,0,7,0,0,0,6
SL0073,#F88090,#C56572,15.43,8,0,0,0,0,0,0,0,6,0,0,0,7
SL0074,#F87080,#C55561,15.71,6,0,0,0,0,0,0,0,6,0,0,0,8
SL0075,#F06878,#C55561,13.67,6,0,0,0,0,0,0,0,6,0,0,0,8
SL0076,#E87078,#CB6167,9.11,7,0,0,0,0,0,0,0,5,0,0,0,8
SL0077,#F08890,#CB7078,11.49,9,0,0,0,0,0,0,0,5,0,0,0,7
SL0078,#F07878,#D06C6E,10.57,8,0,0,0,0,0,0,0,4,0,0,0,8
SL0079,#F08878,#E3806F,4.18,9,0,0,0,0,0,0,0,1,0,0,0,9
SL0080,#F86860,#D95C52,10.01,6,0,0,0,0,0,0,0,3,0,0,0,11
SL0081,#D86878,#C45F6C,6.52,7,0,0,0,0,0,0,0,6,0,0,0,7
SL0082,#F07080,#C45F6C,14.33,7,0,0,0,0,0,0,0,6,0,0,0,7
SL0083,#F88088,#CA6A73,14.58,8,0,0,0,0,0,0,0,5,0,0,0,7
SL0084,#F87888,#C45F6C,16.21,7,0,0,0,0,0,0,0,6,0,0,0,7
SL0085,#E85868,#C14857,12.32,5,0,0,0,0,0,0,0,7,0,0,0,9
SL0086,#D83838,#CD3232,3.61,2,0,0,0,0,0,0,0,5,0,0,0,12
SL0087,#E87080,#C45F6C,11.39,7,0,0,0,0,0,0,0,6,0,0,0,7
SL0088,#D06880,#BD5D71,6.01,7,0,0,0,0,0,0,0,7,0,0,0,6
SL0089,#E86080,#B84860,14.79,5,0,0,0,0,0,0,0,8,0,0,0,7
SL0090,#E86890,#B14F70,17.5,6,0,0,0,0,0,0,0,9,0,0,0,5
SL0091,#D05078,#B14665,10.27,5,0,0,0,0,0,0,0,9,0,0,0,6
SL0092,#C84870,#AC3A5F,9.14,4,0,0,0,0,0,0,0,10,0,0,0,6
SL0093,#E85870,#BF4A5B,13.47,5,0,0,0,0,0,0,0,7,0,0,0,8
SL0094,#E85868,#C14857,12.32,5,0,0,0,0,0,0,0,7,0,0,0,9
SL0095,#D06880,#BD5D71,6.01,7,0,0,0,0,0,0,0,7,0,0,0,6
SL0096,#C03860,#AC3154,6.57,3,0,0,0,0,0,0,0,10,0,0,0,7
SL0097,#C85868,#BE5366,3.81,6,0,0,0,0,0,0,0,7,0,0,0,7
SL0098,#C04058,#B93E55,2.38,4,0,0,0,0,0,0,0,8,0,0,0,8
SL0099,#B04860,#B84860,3.82,5,0,0,0,0,0,0,0,8,0,0,0,7
SL0100,#C04058,#B93E55,2.38,4,0,0,0,0,0,0,0,8,0,0,0,8
SL0101,#C83050,#B12947,8.05,2,0,0,0,0,0,0,0,9,0,0,0,8
SL0102,#B83048,#B6324B,1.85,3,0,0,0,0,0,0,0,9,0,0,0,9
SL0103,#C02838,#BD2B3B,2.77,2,0,0,0,0,0,0,0,8,0,0,0,11
SL0104,#C02038,#B52038,5.42,1,0,0,0,0,0,0,0,9,0,0,0,10
SL0105,#C02040,#AE1E3D,7.07,1,0,0,0,0,0,0,0,10,0,0,0,9
SL0106,#C02840,#B72940,4.6,2,0,0,0,0,0,0,0,9,0,0,0,10
SL0107,#C02848,#B12745,6.12,2,0,0,0,0,0,0,0,10,0,0,0,9
SL0108,#D03858,#B3334F,10.21,3,0,0,0,0,0,0,0,9,0,0,0,8
SL0109,#D01040,#A00C31,17.31,0,0,0,0,0,0,6,0,8,0,0,0,6
SL0110,#B01828,#BC1928,5.36,0,0,0,0,0,0,0,0,8,0,0,0,12
SL0111,#C02030,#BC2233,3.56,1,0,0,0,0,0,0,0,8,0,0,0,11
SL0112,#C02030,#BC2233,3.56,1,0,0,0,0,0,0,0,8,0,0,0,11
SL0113,#B03038,#C73940,7.94,3,0,0,0,0,0,0,0,6,0,0,0,11
SL0114,#A02830,#C12E39,12.32,2,0,0,0,0,0,0,0,7,0,0,0,11
SL0115,#A02838,#BB2C3E,10.08,2,0,0,0,0,0,0,0,8,0,0,0,10
SL0116,#901020,#B51428,14.53,0,0,0,0,0,0,3,0,7,0,0,0,10
SL0117,#882030,#BB2C3E,18.61,2,0,0,0,0,0,0,0,8,0,0,0,10
SL0118,#981830,#B11E3A,8.71,1,0,0,0,0,0,0,0,10,0,0,0,10
SL0119,#981820,#C11A25,16.7,0,0,0,0,0,0,0,0,7,0,0,0,12
SL0120,#C81048,#9C0C38,15.69,0,0,0,0,0,0,4,0,10,0,0,0,6
SL0121,#B01010,#BE1211,5.6,0,0,0,0,0,0,11,0,0,0,0,0,9
SL0122,#B01018,#B6101A,1.92,0,0,0,0,0,0,10,0,2,0,0,0,8
SL0123,#901820,#C2242E,18.13,1,0,0,0,0,0,0,0,7,0,0,0,12
SL0124,#581828,#B03050,31.46,3,0,0,0,0,0,0,0,10,0,0,0,8
SL0125,#501820,#BA354A,38.66,3,0,0,0,0,0,0,0,8,0,0,0,9
SL0126,#B01820,#C31B23,7.39,0,0,0,0,0,0,0,0,7,0,0,0,13
SL0127,#C01820,#BE1721,1.27,0,0,0,0,0,0,3,0,6,0,0,0,12
SL0128,#C81820,#BE171F,4.37,0,0,0,0,0,0,4,0,5,0,0,0,11
SL0129,#F02850,#AE1E3D,23.46,1,0,0,0,0,0,0,0,10,0,0,0,9
SL0130,#F03028,#D02824,12.41,1,0,0,0,0,0,0,0,5,0,0,0,14
SL0131,#F84050,#C12E39,17.54,2,0,0,0,0,0,0,0,7,0,0,0,11
SL0132,#E82830,#C5242C,14.17,1,0,0,0,0,0,0,0,7,0,0,0,13
SL0133,#E02828,#CB2627,9.04,1,0,0,0,0,0,0,0,6,0,0,0,14
SL0134,#C82838,#BC2233,4.21,1,0,0,0,0,0,0,0,8,0,0,0,11
SL0135,#C82818,#DD2C1A,8.08,1,0,0,0,0,0,0,0,3,0,0,0,16
SL0136,#E82840,#BC2233,16.0,1,0,0,0,0,0,0,0,8,0,0,0,11
SL0137,#C81818,#C21718,2.88,0,0,0,0,0,0,6,0,3,0,0,0,11
SL0138,#D82828,#CB2627,5.63,1,0,0,0,0,0,0,0,6,0,0,0,14
SL0139,#D01818,#C41715,4.55,0,0,0,0,0,0,7,0,2,0,0,0,11
SL0140,#D01010,#BE1211,7.75,0,0,0,0,0,0,11,0,0,0,0,0,9
SL0141,#C81828,#BA1726,5.89,0,0,0,0,0,0,2,0,7,0,0,0,11
SL0142,#C01820,#BE1721,1.27,0,0,0,0,0,0,3,0,6,0,0,0,12
SL0143,#C81828,#BA1726,5.89,0,0,0,0,0,0,2,0,7,0,0,0,11
SL0144,#C01828,#BC1826,1.7,0,0,0,0,0,0,1,0,7,0,0,0,11
SL0145,#C81820,#BE171F,4.37,0,0,0,0,0,0,4,0,5,0,0,0,11
SL0146,#D81810,#C8170E,6.31,0,0,0,0,0,0,9,0,0,0,0,0,11
SL0147,#C82018,#D2221C,3.07,0,0,1,0,0,0,0,0,4,0,0,0,15
SL0148,#C81820,#BE171F,4.37,0,0,0,0,0,0,4,0,5,0,0,0,11
SL0149,#D81008,#C8170E,8.06,0,0,0,0,0,0,9,0,0,0,0,0,11
SL0150,#D01018,#B50E14,10.77,0,0,0,0,0,0,13,0,0,0,0,0,7
SL0151,#D01010,#BE1211,7.75,0,0,0,0,0,0,11,0,0,0,0,0,9
SL0152,#C82038,#B82036,6.73,1,0,0,0,0,0,0,0,9,0,0,0,11
SL0153,#C01018,#B30E18,5.65,0,0,0,0,0,0,12,0,1,0,0,0,7
SL0154,#C81018,#B50E14,7.46,0,0,0,0,0,0,13,0,0,0,0,0,7
SL0155,#B80810,#B50E14,3.17,0,0,0,0,0,0,13,0,0,0,0,0,7
SL0156,#C81828,#BA1726,5.89,0,0,0,0,0,0,2,0,7,0,0,0,11
SL0157,#C81820,#BE171F,4.37,0,0,0,0,0,0,4,0,5,0,0,0,11
SL0158,#C81818,#C21718,2.88,0,0,0,0,0,0,6,0,3,0,0,0,11
SL0159,#C01818,#C4191A,1.41,0,0,0,0,0,0,4,0,4,0,0,0,12
SL0160,#D81810,#C8170E,6.31,0,0,0,0,0,0,9,0,0,0,0,0,11
SL0161,#C81820,#BE171F,4.37,0,0,0,0,0,0,4,0,5,0,0,0,11
SL0162,#C81820,#BE171F,4.37,0,0,0,0,0,0,4,0,5,0,0,0,11
SL0163,#B01818,#C71B1C,8.81,0,0,0,0,0,0,2,0,5,0,0,0,13
SL0164,#D02030,#BC1928,6.46,0,0,0,0,0,0,0,0,8,0,0,0,12
SL0165,#C81828,#BA1726,5.89,0,0,0,0,0,0,2,0,7,0,0,0,11
SL0166,#A01820,#C31B23,14.56,0,0,0,0,0,0,0,0,7,0,0,0,13
SL0167,#B01820,#C31B23,7.39,0,0,0,0,0,0,0,0,7,0,0,0,13
SL0168,#B01810,#CD1B14,10.79,0,0,0,0,0,0,4,0,3,0,0,0,14
SL0169,#882028,#C12E39,20.83,2,0,0,0,0,0,0,0,7,0,0,0,11
SL0170,#A81828,#BA182A,7.09,0,0,0,0,0,0,0,0,8,0,0,0,11
SL0171,#B01828,#BC1928,5.36,0,0,0,0,0,0,0,0,8,0,0,0,12
SL0172,#A81028,#AC102B,1.14,0,0,0,0,0,0,5,0,7,0,0,0,8
SL0173,#982030,#BB2C3E,11.5,2,0,0,0,0,0,0,0,8,0,0,0,10
SL0174,#901828,#B82036,14.03,1,0,0,0,0,0,0,0,9,0,0,0,11
SL0175,#701828,#B42943,24.37,2,0,0,0,0,0,0,0,9,0,0,0,9
SL0176,#901830,#AE1E3D,10.69,1,0,0,0,0,0,0,0,10,0,0,0,9
SL0177,#701818,#CE2826,37.49,1,0,0,0,0,0,0,0,5,0,0,0,13
SL0178,#781028,#A81237,18.46,0,0,0,0,0,0,0,0,11,0,0,0,9
SL0179,#401010,#CF322F,56.95,2,0,0,0,0,0,0,0,5,0,0,0,13
SL0180,#802038,#AD2748,16.78,2,0,0,0,0,0,0,0,10,0,0,0,8
SL0181,#782828,#CD4546,30.01,4,0,0,0,0,0,0,0,5,0,0,0,11
SL0182,#601828,#B12947,29.74,2,0,0,0,0,0,0,0,9,0,0,0,8
SL0183,#681820,#C12E39,33.5,2,0,0,0,0,0,0,0,7,0,0,0,11
SL0184,#601818,#CF322F,43.02,2,0,0,0,0,0,0,0,5,0,0,0,13
SL0185,#582030,#AF3D5F,30.47,4,0,0,0,0,0,0,0,9,0,0,0,6
SL0186,#602020,#CD4546,39.16,4,0,0,0,0,0,0,0,5,0,0,0,11
SL0187,#681830,#A7254D,22.67,2,0,0,0,0,0,0,0,11,0,0,0,7
SL0188,#602020,#CD4546,39.16,4,0,0,0,0,0,0,0,5,0,0,0,11
SL0189,#601828,#B12947,29.74,2,0,0,0,0,0,0,0,9,0,0,0,8
SL0190,#702018,#DB3F31,40.11,3,0,0,0,0,0,0,0,3,0,0,0,14
SL0191,#800838,#8F0842,5.72,0,0,0,0,0,0,4,0,12,0,0,0,4
SL0192,#582030,#AF3D5F,30.47,4,0,0,0,0,0,0,0,9,0,0,0,6
SL0193,#782020,#CE3B3B,30.42,3,0,0,0,0,0,0,0,5,0,0,0,12
SL0194,#902028,#C12E39,17.23,2,0,0,0,0,0,0,0,7,0,0,0,11
SL0195,#A01018,#B8121B,9.62,0,0,0,0,0,0,8,0,3,0,0,0,9
SL0196,#981828,#BC2233,12.38,1,0,0,0,0,0,0,0,8,0,0,0,11
SL0197,#981020,#B21226,10.18,0,0,0,0,0,0,5,0,6,0,0,0,9
SL0198,#A81020,#B01024,2.51,0,0,0,0,0,0,7,0,5,0,0,0,8
