Item Name,SKU,Unit,Item Type,Category,Subcategory,Description,MOQ,Size,Packaging Type,HEX Color,Image URL
LC-GP-0747,LC-GP-0747,ml,Inventory,Gel Polish,Solid Colours,Colour: #8878B8,25,10ml,Bottle,#8878B8,
LC-GP-748,LC-GP-748,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-748.webp
LC-GP-0748,LC-GP-0748,ml,Inventory,Gel Polish,Solid Colours,Colour: #706098,25,10ml,Bottle,#706098,
LC-GP-749,LC-GP-749,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-749.webp
LC-GP-0749,LC-GP-0749,ml,Inventory,Gel Polish,Solid Colours,Colour: #605890,25,10ml,Bottle,#605890,
LC-GP-750,LC-GP-750,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-750.webp
LC-GP-0750,LC-GP-0750,ml,Inventory,Gel Polish,Solid Colours,Colour: #505880,25,10ml,Bottle,#505880,
LC-GP-751,LC-GP-751,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-751.webp
LC-GP-0751,LC-GP-0751,ml,Inventory,Gel Polish,Solid Colours,Colour: #7070B0,25,10ml,Bottle,#7070B0,
LC-GP-752,LC-GP-752,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-752.webp
LC-GP-0752,LC-GP-0752,ml,Inventory,Gel Polish,Solid Colours,Colour: #7878B8,25,10ml,Bottle,#7878B8,
LC-GP-753,LC-GP-753,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-753.webp
LC-GP-0753,LC-GP-0753,ml,Inventory,Gel Polish,Solid Colours,Colour: #C0D8F8,25,10ml,Bottle,#C0D8F8,
LC-GP-754,LC-GP-754,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-754.webp
LC-GP-0754,LC-GP-0754,ml,Inventory,Gel Polish,Solid Colours,Colour: #A0B0D8,25,10ml,Bottle,#A0B0D8,
LC-GP-755,LC-GP-755,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-755.webp
LC-GP-0755,LC-GP-0755,ml,Inventory,Gel Polish,Solid Colours,Colour: #98B0E8,25,10ml,Bottle,#98B0E8,
LC-GP-756,LC-GP-756,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-756.webp
LC-GP-0756,LC-GP-0756,ml,Inventory,Gel Polish,Solid Colours,Colour: #A0A8E0,25,10ml,Bottle,#A0A8E0,
LC-GP-757,LC-GP-757,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-757.webp
LC-GP-0757,LC-GP-0757,ml,Inventory,Gel Polish,Solid Colours,Colour: #98A8E8,25,10ml,Bottle,#98A8E8,
LC-GP-758,LC-GP-758,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-758.webp
LC-GP-0758,LC-GP-0758,ml,Inventory,Gel Polish,Solid Colours,Colour: #98B0F0,25,10ml,Bottle,#98B0F0,
LC-GP-759,LC-GP-759,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-759.webp
LC-GP-0759,LC-GP-0759,ml,Inventory,Gel Polish,Solid Colours,Colour: #9898E0,25,10ml,Bottle,#9898E0,
LC-GP-760,LC-GP-760,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-760.webp
LC-GP-0760,LC-GP-0760,ml,Inventory,Gel Polish,Solid Colours,Colour: #9090D8,25,10ml,Bottle,#9090D8,
LC-GP-761,LC-GP-761,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-761.webp
LC-GP-0761,LC-GP-0761,ml,Inventory,Gel Polish,Solid Colours,Colour: #8878D0,25,10ml,Bottle,#8878D0,
LC-GP-762,LC-GP-762,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-762.webp
LC-GP-0762,LC-GP-0762,ml,Inventory,Gel Polish,Solid Colours,Colour: #7860D0,25,10ml,Bottle,#7860D0,
LC-GP-763,LC-GP-763,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-763.webp
LC-GP-0763,LC-GP-0763,ml,Inventory,Gel Polish,Solid Colours,Colour: #6858D0,25,10ml,Bottle,#6858D0,
LC-GP-764,LC-GP-764,ml,Inventory,Gel Polish,Solid Colours,,25,10ml,Bottle,,/img/b2b/solid-colours/LC-GP-764.webp
